account;category;currency;amount;ref_currency_amount;type;payment_type;payment_type_local;note;date;gps_latitude;gps_longitude;gps_accuracy_in_meters;warranty_in_month;transfer;payee;labels;envelope_id;custom_category
Conto Deposito Santander;TRANSFER;EUR;-3000,00;-3000,00;Spese;DEBIT_CARD;Carta di debito;;2020-08-24 22:34:45;;;;0;true;;;20001;false
Conto Unicredit;Spesa;EUR;-15,74;-15,74;Spese;DEBIT_CARD;Carta di debito;Spesa;2020-08-24 19:10:50;;;;0;false;;;1000;false
Ticket;Spesa;EUR;-42,00;-42,00;Spese;VOUCHER;Coupon;Spesa con ticket;2020-08-24 19:10:31;;;;0;false;;;1000;false
Contanti;Bar & Locali;EUR;-1,00;-1,00;Spese;CASH;Contanti;Caffe;2020-08-24 19:10:14;;;;0;false;;;1002;false
Conto Arancio;Bar & Locali;EUR;-6,20;-6,20;Spese;DEBIT_CARD;Carta di debito;Colazione Gaia;2020-08-24 19:09:32;;;;0;false;;;1002;false
Conto Unicredit;Abbigliamento & Scarpe;EUR;-63,74;-63,74;Spese;DEBIT_CARD;Carta di debito;Mangini;2020-08-22 18:28:36;;;;0;false;;;2000;false
Contanti;Spesa;EUR;-19,02;-19,02;Spese;CASH;Contanti;Spesa;2020-08-21 11:02:39;;;;0;false;;;1000;false
Contanti;Regali;EUR;-19,20;-19,20;Spese;CASH;Contanti;Regalo cantucci;2020-08-21 11:01:38;;;;0;false;;;2007;false
Contanti;Tempo libero;EUR;-5,10;-5,10;Spese;CASH;Contanti;Settimana enigmistica;2020-08-21 10:11:10;;;;0;false;;;2009;false
Conto Unicredit;Assicurazioni;EUR;-7,63;-7,63;Spese;CASH;Contanti;Assicurazione Vita;2020-08-20 12:00:00;;;;0;false;;;8001;false
Contanti;TRANSFER;EUR;50,00;50,00;Entrata;CASH;Contanti;Prelievo;2020-08-19 15:06:35;;;;0;true;;;20001;false
Conto Arancio;TRANSFER;EUR;-50,00;-50,00;Spese;CASH;Contanti;Prelievo;2020-08-19 15:06:35;;;;0;true;;;20001;false
Contanti;Tempo libero;EUR;-3,40;-3,40;Spese;CASH;Contanti;Edicola;2020-08-19 15:05:06;;;;0;false;;;2009;false
Contanti;Bar & Locali;EUR;-10,20;-10,20;Spese;CASH;Contanti;Colazione Volterra;2020-08-19 15:04:46;;;;0;false;;;1002;false
Conto Unicredit;Energia & Utenze;EUR;-73,77;-73,77;Spese;CASH;Contanti;Bolletta internet linea fissa;2020-08-19 12:00:00;;;;0;false;;;3002;false
Contanti;Ristoranti & Fast-food;EUR;-70,00;-70,00;Spese;CASH;Contanti;Ristorante Lajatico;2020-08-16 23:19:20;;;;0;false;;;1001;false
Contanti;Tempo libero;EUR;-1,70;-1,70;Spese;CASH;Contanti;Settimana enigmistica;2020-08-15 10:41:44;;;;0;false;;;2009;false
Contanti;Bar & Locali;EUR;-5,00;-5,00;Spese;CASH;Contanti;Colazione Volterra;2020-08-15 10:38:53;;;;0;false;;;1002;false
Contanti;Parcheggio;EUR;-3,00;-3,00;Spese;CASH;Contanti;Parcheggio Volterra;2020-08-15 09:46:37;;;;0;false;;;5001;false
Conto Unicredit;Libri & Abbonamenti;EUR;-4,99;-4,99;Spese;CREDIT_CARD;Carta di credito;Libro Gaia;2020-08-14 16:05:22;;;;0;false;;;6007;false
Contanti;Bar & Locali;EUR;-3,00;-3,00;Spese;CASH;Contanti;Gelato Volterra;2020-08-11 21:59:02;;;;0;false;;;1002;false
Conto Unicredit;TRANSFER;EUR;-1000,00;-1000,00;Spese;TRANSFER;Bonifico bancario;Trasferimento in conto deposito;2020-08-11 11:34:50;;;;0;true;;;20001;false
Conto Deposito Santander;TRANSFER;EUR;1000,00;1000,00;Entrata;TRANSFER;Bonifico bancario;Trasferimento in conto deposito;2020-08-11 11:34:50;;;;0;true;;;20001;false
Conto Unicredit;TRANSFER;EUR;700,00;700,00;Entrata;TRANSFER;Bonifico bancario;;2020-08-11 11:31:41;;;;0;true;;;20001;false
Conto Arancio;TRANSFER;EUR;-700,00;-700,00;Spese;TRANSFER;Bonifico bancario;;2020-08-11 11:31:41;;;;0;true;;;20001;false
Contanti;Abbigliamento & Scarpe;EUR;-70,00;-70,00;Spese;CASH;Contanti;Birkenstock;2020-08-11 11:26:58;;;;0;false;;;2000;false
Contanti;Parcheggio;EUR;-2,00;-2,00;Spese;CASH;Contanti;Parcheggio Volterra;2020-08-11 09:49:59;;;;0;false;;;5001;false
Conto Arancio;Stipendio;EUR;1245,00;1245,00;Entrata;TRANSFER;Bonifico bancario;Stipendio Gaia base;2020-08-10 11:26:53;;;;0;false;;;10000;false
Conto Unicredit;TRANSFER;EUR;-1000,00;-1000,00;Spese;TRANSFER;Bonifico bancario;Trasferimento in conto deposito;2020-08-10 09:40:12;;;;0;true;;;20001;false
Conto Deposito Santander;TRANSFER;EUR;1000,00;1000,00;Entrata;TRANSFER;Bonifico bancario;Trasferimento in conto deposito;2020-08-10 09:40:12;;;;0;true;;;20001;false
Ticket;Stipendio;EUR;154,00;154,00;Entrata;VOUCHER;Coupon;Stipendio Niccolò Ticket;2020-08-10 00:39:53;;;;0;false;;;10000;false
Conto Unicredit;Stipendio;EUR;1731,50;1731,50;Entrata;TRANSFER;Bonifico bancario;Stipendio Niccolò base;2020-08-10 00:39:23;;;;0;false;;;10000;false
Contanti;TRANSFER;EUR;7,00;7,00;Entrata;CASH;Contanti;Trasferimento per Foille;2020-08-09 14:22:29;;;;0;true;;;20001;false
Conto Arancio;TRANSFER;EUR;-7,00;-7,00;Spese;CASH;Contanti;Trasferimento per Foille;2020-08-09 14:22:29;;;;0;true;;;20001;false
Contanti;TRANSFER;EUR;40,00;40,00;Entrata;CASH;Contanti;Trasferimento per materasso;2020-08-09 14:15:43;;;;0;true;;;20001;false
Conto Arancio;TRANSFER;EUR;-40,00;-40,00;Spese;CASH;Contanti;Trasferimento per materasso;2020-08-09 14:15:43;;;;0;true;;;20001;false
Conto Unicredit;Telefono;EUR;-16,00;-16,00;Spese;CASH;Contanti;Telefono Gaia;2020-08-08 12:00:00;;;;0;false;;;7001;false
Conto Unicredit;TRANSFER;EUR;-1000,00;-1000,00;Spese;TRANSFER;Bonifico bancario;Trasferimento in conto deposito;2020-08-06 13:12:45;;;;0;true;;;20001;false
Conto Deposito Santander;TRANSFER;EUR;1000,00;1000,00;Entrata;TRANSFER;Bonifico bancario;Trasferimento in conto deposito;2020-08-06 13:12:45;;;;0;true;;;20001;false
Conto Unicredit;TRANSFER;EUR;-4000,00;-4000,00;Spese;TRANSFER;Bonifico bancario;Trasferimento in conto deposito;2020-08-06 13:12:23;;;;0;true;;;20001;false
Conto d'emergenza;TRANSFER;EUR;4000,00;4000,00;Entrata;TRANSFER;Bonifico bancario;Trasferimento in conto deposito;2020-08-06 13:12:23;;;;0;true;;;20001;false
Conto Unicredit;TRANSFER;EUR;-5000,00;-5000,00;Spese;TRANSFER;Bonifico bancario;Trasferimento in conto deposito;2020-08-06 07:15:07;;;;0;true;;;20001;false
Conto d'emergenza;TRANSFER;EUR;5000,00;5000,00;Entrata;TRANSFER;Bonifico bancario;Trasferimento in conto deposito;2020-08-06 07:15:07;;;;0;true;;;20001;false
Conto Unicredit;Veicoli;EUR;-1950,00;-1950,00;Spese;TRANSFER;Bonifico bancario;Anticipo Captur;2020-08-05 21:16:55;;;;0;false;;;5004;false
Conto Arancio;Casa & Giardino;EUR;-129,00;-129,00;Spese;DEBIT_CARD;Carta di debito;Materasso per Roncaccio;2020-08-05 21:13:37;;;;0;false;;;2004;false
Conto Arancio;Viaggi;EUR;-3,30;-3,30;Spese;DEBIT_CARD;Carta di debito;Casello Roncaccio;2020-08-05 14:12:43;;;;0;false;;;4002;false
Conto Arancio;Bar & Locali;EUR;-5,70;-5,70;Spese;DEBIT_CARD;Carta di debito;Colazione McDonald's;2020-08-05 08:24:41;;;;0;false;;;1002;false
Contanti;TRANSFER;EUR;20,00;20,00;Entrata;CASH;Contanti;Prelievo;2020-08-05 07:51:43;;;;0;true;;;20001;false
Conto Arancio;TRANSFER;EUR;-20,00;-20,00;Spese;CASH;Contanti;Prelievo;2020-08-05 07:51:43;;;;0;true;;;20001;false
Contanti;Bar & Locali;EUR;-4,10;-4,10;Spese;CASH;Contanti;Bar Roncaccio;2020-08-04 12:19:31;;;;0;false;;;1002;false
Conto Unicredit;Spesa;EUR;-9,20;-9,20;Spese;DEBIT_CARD;Carta di debito;Spesa;2020-08-03 19:06:48;;;;0;false;;;1000;false
Ticket;Spesa;EUR;-21,00;-21,00;Spese;VOUCHER;Coupon;Spesa con ticket;2020-08-03 19:06:05;;;;0;false;;;1000;false
Conto Unicredit;Casa & Giardino;EUR;-72,37;-72,37;Spese;CREDIT_CARD;Carta di credito;Rete letto Roncaccio;2020-08-03 17:21:58;;;;0;false;;;2004;false
Conto Unicredit;TRANSFER;EUR;9000,00;9000,00;Entrata;TRANSFER;Bonifico bancario;Trasferimento in conto Unicredit;2020-08-03 12:08:12;;;;0;true;;;20001;false
Conto d'emergenza;TRANSFER;EUR;-9000,00;-9000,00;Spese;TRANSFER;Bonifico bancario;Trasferimento in conto Unicredit;2020-08-03 12:08:12;;;;0;true;;;20001;false
Conto Unicredit;TRANSFER;EUR;3000,00;3000,00;Entrata;TRANSFER;Bonifico bancario;Trasferimento in conto Unicredit;2020-08-03 12:07:44;;;;0;true;;;20001;false
Conto Deposito Santander;TRANSFER;EUR;-3000,00;-3000,00;Spese;TRANSFER;Bonifico bancario;Trasferimento in conto Unicredit;2020-08-03 12:07:44;;;;0;true;;;20001;false
Conto Arancio;Viaggi;EUR;-3,30;-3,30;Spese;DEBIT_CARD;Carta di debito;Casello Roncaccio;2020-08-01 18:26:01;;;;0;false;;;4002;false
Conto Arancio;Bar & Locali;EUR;-9,90;-9,90;Spese;DEBIT_CARD;Carta di debito;Bar autogrill;2020-08-01 18:25:29;;;;0;false;;;1002;false
Conto Arancio;Farmacia;EUR;-5,85;-5,85;Spese;DEBIT_CARD;Carta di debito;Farmacia;2020-08-01 18:24:59;;;;0;false;;;2011;false
Conto Unicredit;Tariffe, tasse;EUR;-3,85;-3,85;Spese;CASH;Contanti;Tassa conto corrente;2020-08-01 12:00:00;;;;0;false;;;8005;false
Conto Unicredit;Mutuo;EUR;-570,28;-570,28;Spese;CASH;Contanti;Mutuo;2020-08-01 12:00:00;;;;0;false;;;3001;false
Conto Arancio;Farmacia;EUR;-43,00;-43,00;Spese;DEBIT_CARD;Carta di debito;Farmacia;2020-08-01 09:06:36;;;;0;false;;;2011;false
Contanti;Bar & Locali;EUR;-1,20;-1,20;Spese;CASH;Contanti;Caffe;2020-07-31 22:08:41;;;;0;false;;;1002;false
Revolut;Bar & Locali;EUR;-2,50;-2,50;Spese;MOBILE_PAYMENT;Pagamento mobile;Cannolo siciliano;2020-07-31 12:00:24;;;;0;false;;;1002;false
